Member_number,min,max,count,days_active,avg_per_week,frequency_label
1000,2014-06-24,2015-11-25,13,520,0.175,Occasional
1001,2014-02-07,2015-05-02,12,450,0.18666666666666665,Occasional
1002,2014-02-09,2015-08-30,8,568,0.09859154929577466,Occasional
1003,2014-01-19,2015-02-10,8,388,0.14432989690721648,Occasional
1004,2014-02-04,2015-12-02,21,667,0.22038980509745126,Occasional
1005,2014-01-09,2014-01-23,4,15,1.8666666666666667,Weekly
1006,2014-04-09,2015-06-14,15,432,0.24305555555555555,Occasional
1008,2015-07-21,2015-10-03,12,75,1.12,Monthly
1009,2014-01-24,2015-10-05,9,620,0.10161290322580645,Occasional
1010,2014-03-05,2015-07-31,12,514,0.16342412451361868,Occasional
1011,2014-02-15,2015-12-09,13,663,0.13725490196078433,Occasional
1012,2014-06-22,2015-11-19,11,516,0.1492248062015504,Occasional
1013,2014-01-17,2015-10-02,19,624,0.21314102564102566,Occasional
1014,2014-09-04,2015-10-03,10,395,0.17721518987341772,Occasional
1015,2014-06-28,2015-05-04,7,311,0.157556270096463,Occasional
1016,2015-04-23,2015-10-05,11,166,0.463855421686747,Occasional
1017,2014-02-21,2015-09-30,11,587,0.131175468483816,Occasional
1018,2014-04-15,2015-05-23,8,404,0.1386138613861386,Occasional
1019,2014-12-10,2014-12-10,2,1,14.0,Daily
1020,2014-07-19,2015-10-13,10,452,0.15486725663716816,Occasional
1021,2014-05-30,2015-11-07,8,527,0.10626185958254268,Occasional
1022,2014-02-22,2014-06-07,6,106,0.39622641509433965,Occasional
1023,2014-05-17,2015-06-28,17,408,0.2916666666666667,Occasional
1024,2015-08-10,2015-08-10,4,1,28.0,Daily
1025,2014-02-06,2015-08-19,6,560,0.075,Occasional
1026,2014-03-08,2015-05-28,17,447,0.2662192393736018,Occasional
1027,2014-05-14,2015-05-17,9,369,0.17073170731707316,Occasional
1028,2014-04-05,2015-07-11,13,463,0.1965442764578834,Occasional
1029,2015-03-14,2015-03-14,2,1,14.0,Daily
1031,2014-03-04,2015-10-15,7,591,0.0829103214890017,Occasional
1032,2014-01-26,2015-08-23,16,575,0.19478260869565217,Occasional
1033,2014-03-02,2015-06-15,12,471,0.17834394904458598,Occasional
1034,2014-02-24,2014-05-13,9,79,0.7974683544303797,Monthly
1035,2014-06-25,2015-09-08,14,441,0.2222222222222222,Occasional
1036,2014-01-20,2014-01-20,2,1,14.0,Daily
1037,2014-02-24,2015-12-16,10,661,0.1059001512859304,Occasional
1038,2014-01-28,2015-12-14,19,686,0.19387755102040816,Occasional
1039,2015-05-31,2015-05-31,2,1,14.0,Daily
1040,2014-06-14,2015-11-26,11,531,0.14500941619585686,Occasional
1041,2014-06-13,2015-04-02,10,294,0.23809523809523808,Occasional
1042,2015-02-12,2015-10-16,6,247,0.1700404858299595,Occasional
1043,2014-03-14,2015-01-10,8,303,0.18481848184818483,Occasional
1044,2015-02-09,2015-10-25,4,259,0.10810810810810811,Occasional
1045,2014-01-12,2015-11-25,9,683,0.09224011713030747,Occasional
1046,2015-06-18,2015-06-24,4,7,4.0,Weekly
1047,2014-12-17,2015-08-09,6,236,0.17796610169491525,Occasional
1048,2015-10-06,2015-10-18,6,13,3.230769230769231,Weekly
1049,2014-01-07,2015-09-05,8,607,0.09225700164744646,Occasional
1050,2014-02-15,2015-05-04,14,444,0.22072072072072071,Occasional
1051,2014-01-13,2015-11-10,20,667,0.2098950524737631,Occasional
1052,2014-01-04,2015-10-27,27,662,0.2854984894259819,Occasional
1053,2014-04-30,2015-07-09,12,436,0.1926605504587156,Occasional
1054,2014-01-16,2015-10-21,9,644,0.09782608695652174,Occasional
1055,2014-08-05,2015-05-25,6,294,0.14285714285714285,Occasional
1056,2014-09-24,2015-11-09,6,412,0.10194174757281554,Occasional
1057,2014-01-06,2014-06-08,8,154,0.36363636363636365,Occasional
1058,2014-05-24,2015-11-10,8,536,0.1044776119402985,Occasional
1059,2014-06-11,2014-06-14,5,4,8.75,Daily
1061,2014-03-17,2015-09-05,14,538,0.1821561338289963,Occasional
1062,2014-01-26,2015-09-18,16,601,0.18635607321131448,Occasional
1063,2014-06-07,2015-01-23,4,231,0.12121212121212122,Occasional
1064,2014-04-21,2015-07-25,7,461,0.10629067245119306,Occasional
1065,2014-01-14,2015-11-13,14,669,0.14648729446935727,Occasional
1066,2014-02-01,2014-06-12,6,132,0.3181818181818182,Occasional
1067,2015-03-05,2015-07-20,8,138,0.40579710144927533,Occasional
1068,2014-03-08,2015-07-01,4,481,0.058212058212058215,Occasional
1069,2014-01-20,2015-08-20,10,578,0.12110726643598617,Occasional
1070,2014-04-10,2014-11-05,4,210,0.13333333333333333,Occasional
1071,2014-09-26,2014-09-26,3,1,21.0,Daily
1072,2014-06-23,2015-10-23,4,488,0.05737704918032788,Occasional
1073,2014-03-21,2015-12-03,12,623,0.1348314606741573,Occasional
1074,2014-01-29,2015-10-16,10,626,0.11182108626198083,Occasional
1075,2014-06-19,2015-11-19,11,519,0.1483622350674374,Occasional
1076,2014-12-24,2015-10-14,13,295,0.3084745762711864,Occasional
1077,2014-07-17,2015-09-12,14,423,0.23167848699763594,Occasional
1078,2014-08-28,2015-10-28,7,427,0.11475409836065574,Occasional
1079,2014-10-07,2015-09-09,6,338,0.1242603550295858,Occasional
1080,2014-11-02,2015-05-14,5,194,0.18041237113402062,Occasional
1081,2014-02-11,2015-05-03,16,447,0.2505592841163311,Occasional
1082,2014-03-20,2014-05-13,5,55,0.6363636363636364,Monthly
1083,2014-07-15,2015-02-06,7,207,0.23671497584541062,Occasional
1084,2014-04-18,2014-04-18,2,1,14.0,Daily
1085,2014-04-24,2015-08-15,7,479,0.1022964509394572,Occasional
1086,2014-07-27,2015-12-28,14,520,0.18846153846153846,Occasional
1087,2014-02-26,2015-08-14,21,535,0.27476635514018694,Occasional
1088,2015-01-14,2015-11-30,9,321,0.19626168224299068,Occasional
1089,2014-12-05,2014-12-05,2,1,14.0,Daily
1090,2015-08-31,2015-10-21,12,52,1.6153846153846154,Weekly
1092,2014-12-10,2015-10-09,20,304,0.4605263157894737,Occasional
1093,2015-03-28,2015-03-28,2,1,14.0,Daily
1094,2014-03-11,2015-09-08,20,547,0.25594149908592323,Occasional
